,model,citation_rank,mean frobenious norm
0,GNN,high,1.455437672377216
1,GNN,mid-high,1.0080215070476894
2,GNN,mid-low,1.1521804241809215
3,GNN,low,1.0580508661502979
4,GNN,zero,0.9792136738490547
5,BERT,high,17.486680756423237
6,BERT,mid-high,19.08750835568999
7,BERT,mid-low,18.326033102092694
8,BERT,low,18.819401334516908
9,BERT,zero,19.13367971784906
