,first_author_country,GNN,BERT,n,n_citations,continent
98,Tunisia,0.38675996790620204,0.904671933830903,3,89,Africa
99,Turkey,0.46866564818738543,0.9422288869210795,104,1153,Asia
100,Uganda,-0.3703272724943374,0.8507179363503466,1,1,Africa
101,Ukraine,-0.4525928522599948,0.9358734145576919,24,128,Europe
102,United Arab Emirates,0.4633892095557066,0.9268450719701556,14,88,Asia
103,United Kingdom,0.48071179690751714,0.954081728001931,2828,105688,Europe
104,United States,0.4481030725730934,0.9461305490348375,5390,166892,North America
105,Uruguay,-0.3727843209564651,0.9450326181274016,16,260,South America
106,Venezuela,0.3793301072255462,0.92537834609944,23,239,South America
107,Viet Nam,0.13378456283080545,0.9377291259012658,6,49,Asia
