,degree
799,7
800,18
801,16
802,16
803,19
804,6
805,23
806,15
807,7
808,12
809,24
810,5
811,11
812,16
813,11
814,10
815,14
816,3
817,12
818,16
819,22
820,6
821,12
822,10
823,7
824,17
825,11
826,13
827,11
828,17
829,6
830,10
831,13
832,17
833,19
834,10
835,11
836,4
837,17
838,12
839,15
840,4
841,4
842,6
843,8
844,10
845,5
846,7
847,9
848,6
849,19
850,17
851,13
852,10
853,13
854,31
855,9
856,8
857,8
858,9
859,12
860,11
861,14
862,2
863,4
864,7
865,11
866,1
867,8
868,10
869,11
870,4
871,19
872,12
873,13
874,22
875,18
876,24
877,22
878,16
879,25
880,34
881,18
882,13
883,14
884,23
885,26
886,8
887,36
888,7
889,9
890,5
891,1
892,7
893,17
894,15
895,10
896,9
897,5
898,8
899,26
900,10
901,5
902,8
903,15
904,39
905,22
906,3
907,28
908,12
909,6
910,4
911,20
912,7
913,22
914,4
915,13
916,22
917,8
918,12
919,6
920,9
921,6
922,12
923,11
924,8
925,5
926,12
927,17
928,8
929,11
930,26
931,10
932,25
933,38
934,7
935,11
936,13
937,5
938,11
939,8
940,17
941,10
942,10
943,7
944,8
945,26
946,15
947,11
948,7
949,36
950,11
951,1
952,5
953,2
954,6
955,3
956,5
957,8
958,3
959,9
960,5
961,5
962,5
963,8
964,23
965,14
966,3
967,13
968,13
969,6
970,20
971,26
972,17
973,6
974,18
975,19
976,3
977,11
978,12
979,28
980,20
981,7
982,38
983,8
984,6
985,13
986,25
987,43
988,9
989,20
990,17
991,13
992,9
993,12
994,14
995,6
996,10
997,13
998,12
999,10
1000,7
1001,6
1002,6
1003,9
1004,8
1005,16
1006,1
1007,9
1008,9
1009,15
1010,12
1011,12
1012,7
1013,6
1014,19
1015,31
1016,27
1017,9
1018,19
1019,12
1020,32
1021,23
1022,9
1023,8
1024,4
1025,8
1026,9
1027,11
1028,10
1029,17
1030,4
1031,8
1032,7
1033,17
1034,26
1035,12
1036,9
1037,14
1038,2
1039,5
1040,5
1041,10
1042,22
1043,13
1044,12
1045,12
1046,16
1047,15
1048,50
1049,2
1050,4
1051,12
1052,23
1053,16
1054,17
1055,19
1056,14
1057,12
1058,29
1059,11
1060,13
1061,7
1062,9
1063,33
1064,14
1065,8
1066,18
1067,15
1068,12
1069,33
1070,10
1071,10
1072,28
1073,6
1074,14
1075,32
1076,32
1077,13
1078,19
1079,9
1080,16
1081,5
1082,6
1083,5
1084,10
1085,4
1086,21
1087,10
1088,10
1089,19
1090,13
1091,18
1092,63
1093,6
1094,10
1095,14
1096,28
1097,2
1098,47
1099,23
1100,21
1101,25
1102,11
1103,14
1104,11
1105,6
1106,29
1107,17
1108,17
1109,9
1110,7
1111,2
1112,6
1113,17
1114,57
1115,6
1116,5
1117,15
1118,7
1119,10
1120,12
1121,3
1122,10
1123,18
1124,14
1125,11
1126,3
1127,20
1128,35
1129,34
1130,10
1131,12
1132,11
1133,12
1134,7
1135,21
1136,23
1137,18
1138,13
1139,16
1140,11
1141,17
1142,14
1143,11
1144,33
1145,14
1146,6
1147,18
1148,22
1149,19
1150,16
1151,11
1152,25
1153,19
1154,16
1155,20
1156,9
1157,52
1158,15
1159,28
1160,6
1161,7
1162,169
1163,14
1164,15
1165,14
1166,9
1167,6
1168,21
1169,23
1170,22
1171,19
1172,11
1173,6
1174,12
1175,15
1176,32
1177,14
1178,15
1179,23
1180,23
1181,21
1182,26
1183,38
1184,20
1185,17
1186,20
1187,27
1188,59
1189,59
1190,10
1191,15
1192,10
1193,3
1194,2
1195,143
1196,28
1197,79
1198,21
1199,16
1200,24
1201,4
1202,5
1203,10
1204,10
1205,8
1206,10
1207,11
1208,15
1209,4
1210,11
1211,5
1212,97
1213,10
1214,21
1215,50
1216,20
1217,21
1218,37
1219,2
1220,4
1221,17
1222,18
1223,19
1224,8
1225,9
1226,37
1227,48
1228,14
1229,15
1230,35
1231,13
1232,15
1233,10
1234,18
1235,8
1236,20
1237,46
1238,6
1239,23
1240,9
1241,44
1242,6
1243,20
1244,26
1245,8
1246,15
1247,9
1248,16
1249,23
1250,41
1251,41
1252,23
1253,17
1254,11
1255,19
1256,18
1257,7
1258,27
1259,15
1260,7
1261,27
1262,15
1263,24
1264,29
1265,11
1266,17
1267,10
1268,31
1269,18
1270,3
1271,8
1272,11
1273,23
1274,25
1275,16
1276,8
1277,17
1278,21
1279,17
1280,4
1281,13
1282,3
1283,8
1284,10
1285,32
1286,11
1287,28
1288,11
1289,15
1290,9
1291,7
1292,9
1293,5
1294,17
1295,7
1296,25
1297,16
1298,17
1299,5
1300,7
1301,7
1302,1
1303,26
1304,16
1305,13
1306,13
1307,9
1308,18
1309,12
1310,14
1311,11
1312,9
1313,9
1314,14
1315,11
1316,12
1317,20
1318,42
1319,21
1320,13
1321,8
1322,15
1323,12
1324,3
1325,4
1326,24
1327,10
1328,10
1329,17
1330,12
1331,2
1332,14
1333,28
1334,10
1335,17
1336,32
1337,23
1338,25
1339,9
1340,20
1341,22
1342,17
1343,7
1344,12
1345,42
1346,58
1347,13
1348,7
1349,24
1350,42
1351,9
1352,24
1353,28
1354,31
1355,11
1356,5
1357,10
1358,10
1359,6
1360,11
1361,16
1362,12
1363,7
1364,11
1365,32
1366,9
1367,7
1368,9
1369,11
1370,16
1371,2
1372,23
1373,6
1374,24
1375,18
1376,13
1377,9
1378,23
1379,19
1380,7
1381,10
1382,8
1383,9
1384,8
1385,6
1386,11
1387,5
1388,2
1389,17
1390,18
1391,13
1392,11
1393,8
1394,20
1395,19
1396,21
1397,13
1398,17
1399,15
1400,13
1401,4
1402,11
1403,14
1404,2
1405,8
